,Activity Id,Students Sets,Subject,Teachers,Room,SKS,Schedules
281,282,IS-03-05,23810 - ISA2223 - PERANCANGAN INTERAKSI,PUR,KELAS,3,Schedule 4
321,322,TE-03-01,23227 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,RMU,LAB,1,Schedule 4
15,16,TE-02-02,23184 - LAA1022 - BAHASA INGGRIS 2,AFR,KELAS,2,Schedule 4
342,343,IE-02-02,23625 - IEA3041 - PRAKTIKUM ORGANISASI DAN KELAYAKAN PERUSAHAAN,SIL,LAB,1,Schedule 4
350,351,IS-04-04,23796 - MAA1013 - MATRIKS DAN VEKTOR,SRI,KELAS,3,Schedule 4
352,353,CE-03-02,23271 - FEA2211 - PRAKTIKUM ELEKTRONIKA,SSJ,LAB,1,Schedule 4
5,6,TE-04-01,23181 - MAA1214 - KALKULUS 2A,AAF,KELAS,2,Schedule 4
362,363,IT-02-01,23773 - ITA3263 - MANAJEMEN RISIKO,SWP,KELAS,3,Schedule 4
334,335,IS-04-02,23797 - LAA1012 - BAHASA INGGRIS 1,RZK,KELAS,2,Schedule 4
67,68,IF-01-01,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,AWS,LAB,3,Schedule 4
295,296,IE-03-02,23584 - IEA2221 - PRAKTIKUM PERANCANGAN KERJA DAN ERGONOMI,RDP,LAB,1,Schedule 4
81,82,IE-04-01,23464 - IEA1211 - PRAKTIKUM MENGGAMBAR TEKNIK,BIA,LAB,1,Schedule 4
106,107,IE-02-01,23622 - IEA3223 - ANALISIS KELAYAKAN,DMI,KELAS,3,Schedule 4
248,249,IE-03-03,23582 - IEA2232 - PROSES MANUFAKTUR,NNR,KELAS,2,Schedule 4
378,379,SE-04-01,23685 - SEA1222 - ETIKA PROFESIONALISME DAN KOMUNIKASI,TTK,KELAS,2,Schedule 4
97,98,SE-02-01,23719 - SEA30B3 - PENGGALIAN DATA,DEW,KELAS,3,Schedule 4
92,93,DB-01-01,23988 - DBB1243 - AKUNTANSI DASAR DAN BIAYA,DAU,KELAS,3,Schedule 4
257,258,TE-03-02,23221 - TEA2213 - MIKROPROSESOR,NRR,KELAS,3,Schedule 4
170,171,DS-01-01,23875 - DSB1213 - KALKULUS 2,HNF,KELAS,3,Schedule 4
169,170,IT-02-02,23854 - ITA40A3 - PENGOLAHAN CITRA DIGITAL,HMM,KELAS,3,Schedule 4
