Activity Id,Students Sets,Subject,Teachers,Activity Tags,Room,SKS
136,TE-02-02,23244 - TEA3213 - ANTENA DAN PROPAGASI,FSA,FTEIC,KTT2.14,3
137,TE-03-01,23210 - FEA2223 - ELEKTROMAGNETIKA,FSA,FTEIC,KTT1.3,3
138,SE-02-01,23727 - SEA30D3 - PEMROGRAMAN GAME,FWP,LAB.MACHINE.LEARNING,LAB.MACHINE.LEARNING,3
139,SE-02-01,23704 - SEA3264 - PROSES DAN IMPLEMENTASI PERANGKAT LUNAK,FWP,FTIB,KTT1.8,3
140,SE-02-01,23704 - SEA3264 - PROSES DAN IMPLEMENTASI PERANGKAT LUNAK,FWP,FTIB,KTT1.1,3
141,SE-02-01,23723 - SEA3023 - SISTEM INFORMASI GEOGRAFIS,FWP,LAB.MODEL,LAB.MODEL,3
142,IT-02-01,23769 - ITA3213 - PEMROGRAMAN MOBILE,FZN,FTIB,KTT2.2,3
143,IT-02-02,23769 - ITA3213 - PEMROGRAMAN MOBILE,FZN,FTIB,KTT2.3,3
144,IT-04-01,23749 - SCA1024 - FISIKA DASAR  B,FZN,FTIB,KTT2.9,3
145,IT-04-01,23749 - SCA1024 - FISIKA DASAR  B,FZN,LAB.FISDAS,LAB.FISDAS,3
146,IT-04-02,23749 - SCA1024 - FISIKA DASAR  B,FZN,FTIB,KTT1.6,3
147,IT-04-02,23749 - SCA1024 - FISIKA DASAR  B,FZN,LAB.FISDAS,LAB.FISDAS,3
148,CE-02-01,23279 - CEA30A3 - MANAJEMEN LOGISTIK,GRA,FTEIC,KTT1.5,3
149,EE-02-01,23417 - EEA40F3 - MANAJEMEN LOGISTIK,GRA,FTEIC,KTT1.13,3
150,IE-02-02,23618 - IEA3043 - ORGANISASI DAN MANAJEMEN PERUSAHAAN INDUSTRI,GRA,FTEIC,KTT1.12,3
151,TE-01-01,23349 - TEA40H3 - NEW GENERATION NETWORKS,HAM,FTEIC,KTT1.6,3
152,TE-01-01,23337 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,HAM,FTEIC,KTT2.8,2
153,TE-02-01,23252 - TEA3221 - PRAKTIKUM ELEKTRONIKA TELEKOMUNIKASI,HAM,LAB.PSD,LAB.PSD,1
154,TE-02-01,23316 - TEA3233 - SISTEM KOMUNIKASI SELULER,HAM,FTEIC,KTT2.11,3
155,TE-02-02,23316 - TEA3233 - SISTEM KOMUNIKASI SELULER,HAM,FTEIC,KTT1.3,3
156,DB-01-01,23982 - FIB1022 - KEWARGANEGARAAN,HAR,ONLINE,ONLINE4,2
157,DB-01-02,23982 - FIB1022 - KEWARGANEGARAAN,HAR,ONLINE,ONLINE4,2
158,DS-01-01,23878 - FIB1022 - KEWARGANEGARAAN,HAR,ONLINE,ONLINE5,2
159,IE-04-01,23439 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,ONLINE,ONLINE6,3
160,IE-04-02,23439 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,ONLINE,ONLINE3,3
161,IF-01-01,23920 - FIB1022 - KEWARGANEGARAAN,HAR,ONLINE,ONLINE5,2
162,IF-01-02,23920 - FIB1022 - KEWARGANEGARAAN,HAR,ONLINE,ONLINE6,2
163,IT-04-01,23747 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,ONLINE,ONLINE6,3
164,IT-01-01,23775 - FIA4022 - METODE PENELITIAN DAN PENGEMBANGAN,HEL,FTIB,KTT2.9,2
165,IT-04-01,23748 - MAA1023 - MATEMATIKA DISKRIT,HEL,FTIB,KTT2.1,3
166,DS-01-01,23880 - DSB1224 - DATA WRANGLING,HMM,FTIB,KTT1.13,2
167,DS-01-01,23880 - DSB1224 - DATA WRANGLING,HMM,FTIB,KTT1.14,2
168,IT-02-01,23770 - ITA3273 - PEMBELAJARAN MESIN,HMM,FTIB,KTT2.4,3
169,IT-02-01,23854 - ITA40A3 - PENGOLAHAN CITRA DIGITAL,HMM,FTIB,KTT1.4,3
170,IT-02-02,23854 - ITA40A3 - PENGOLAHAN CITRA DIGITAL,HMM,FTIB,KTT1.13,3
171,DS-01-01,23875 - DSB1213 - KALKULUS 2,HNF,FTIB,KTT1.7,3
172,IS-04-01,23795 - MAA1033 - TEORI PROBABILITAS,HNF,FTIB,KTT2.1,3
173,IS-04-02,23795 - MAA1033 - TEORI PROBABILITAS,HNF,FTIB,KTT2.4,3
174,SE-04-01,23682 - MAA1223 - KALKULUS 2B,HNF,FTIB,KTT2.11,3
175,EE-04-01,23300 - LAA1032 - BAHASA INDONESIA,HRM,FTEIC,KTT1.14,2
176,TE-04-01,23187 - LAA1032 - BAHASA INDONESIA,HRM,FTEIC,KTT1.11,2
177,TE-04-02,23187 - LAA1032 - BAHASA INDONESIA,HRM,FTEIC,KTT2.13,2
178,IS-03-01,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,HWM,FTIB,KTT2.6,3
179,IS-04-03,23801 - ISA1213 - SISTEM ENTERPRISE,HWM,FTIB,KTT1.4,3
180,IS-04-04,23801 - ISA1213 - SISTEM ENTERPRISE,HWM,FTIB,KTT1.12,3
181,EE-03-01,23329 - FEA2214 - ELEKTRONIKA,IFA,FTEIC,KTT1.11,2
182,EE-03-01,23329 - FEA2214 - ELEKTRONIKA,IFA,FTEIC,KTT2.8,2
183,EE-02-01,23294 - EEA3213 - SISTEM TENAGA ELEKTRIK,ISA,FTEIC,KTT2.11,3
184,EE-02-01,23298 - EEA3211 - PRAKTIKUM SISTEM TENAGA ELEKTRIK,ISA,LAB.PSD,LAB.PSD,1
185,EE-02-01,23399 - EEA30C3 - ELEKTRONIKA DAYA,ISA,FTEIC,KTT1.1,3
186,EE-03-01,23342 - FEA2223 - ELEKTROMAGNETIKA,ISA,FTEIC,KTT1.6,3
187,CE-04-01,23192 - MAA1214 - KALKULUS 2A,KHG,ONLINE,ONLINE1,2
188,CE-04-01,23192 - MAA1214 - KALKULUS 2A,KHG,ONLINE,ONLINE6,2
189,EE-04-01,23273 - MAA1214 - KALKULUS 2A,KHG,ONLINE,ONLINE3,2
190,EE-04-01,23273 - MAA1214 - KALKULUS 2A,KHG,ONLINE,ONLINE2,2
191,IE-04-01,23430 - MAA1214 - KALKULUS 2A,KHG,ONLINE,ONLINE2,2
192,IE-04-01,23430 - MAA1214 - KALKULUS 2A,KHG,ONLINE,ONLINE3,2
193,IE-04-02,23430 - MAA1214 - KALKULUS 2A,KHG,ONLINE,ONLINE6,2
194,IE-04-02,23430 - MAA1214 - KALKULUS 2A,KHG,ONLINE,ONLINE3,2
195,EE-01-01,23654 - FEA4054 - TUGAS AKHIR,KHL,FTEIC,KTT1.8,4
196,EE-02-01,23299 - EEA3223 - SISTEM TELEKOMUNIKASI,KHL,FTEIC,KTT1.2,3
197,EE-02-01,23302 - EEA3221 - PRAKTIKUM SISTEM TELEKOMUNIKASI,KHL,LAB.PSD,LAB.PSD,1
198,EE-02-01,23391 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,KHL,FTEIC,KTT1.7,2
199,EE-03-01,23334 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,KHL,FTEIC,KTT2.5,3
200,EE-03-01,23338 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,KHL,LAB.PSD,LAB.PSD,1
201,EE-03-01,23347 - MAA2013 - PROBABILITAS DAN STATISTIK,KHL,FTEIC,KTT2.5,3
202,IF-01-02,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,KMD,FTIB,KTT2.1,3
203,IF-01-02,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,KMD,LAB.MACHINE.LEARNING,LAB.MACHINE.LEARNING,3
204,IS-03-04,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,KMD,FTIB,KTT1.12,3
205,IS-03-04,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,KMD,LAB.JARINGAN,LAB.JARINGAN,3
206,IT-02-01,23771 - ITA3233 - DATA WAREHOUSE,KMD,FTIB,KTT2.10,3
207,IT-02-02,23771 - ITA3233 - DATA WAREHOUSE,KMD,FTIB,KTT1.13,3
208,IS-03-02,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,FTIB,KTT2.4,3
209,IS-03-03,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,FTIB,KTT2.2,3
210,IS-03-04,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,LIA,FTIB,KTT2.2,3
211,IS-04-01,23801 - ISA1213 - SISTEM ENTERPRISE,LIA,FTIB,KTT2.5,3
212,IS-04-02,23801 - ISA1213 - SISTEM ENTERPRISE,LIA,FTIB,KTT1.13,3
213,CE-04-01,23150 - LAA1032 - BAHASA INDONESIA,LSH,ONLINE,ONLINE5,2
214,IE-04-01,23435 - LAA1032 - BAHASA INDONESIA,LSH,ONLINE,ONLINE3,2
215,IE-04-02,23435 - LAA1032 - BAHASA INDONESIA,LSH,ONLINE,ONLINE5,2
216,IS-04-01,23798 - LAA1032 - BAHASA INDONESIA,LSH,ONLINE,ONLINE2,2
217,IS-04-02,23798 - LAA1032 - BAHASA INDONESIA,LSH,ONLINE,ONLINE4,2
218,IS-04-03,23798 - LAA1032 - BAHASA INDONESIA,LSH,ONLINE,ONLINE2,2
219,IS-04-04,23798 - LAA1032 - BAHASA INDONESIA,LSH,ONLINE,ONLINE1,2
220,IF-01-01,23923 - IFB1223 - KALKULUS 2,MDF,FTIB,KTT1.5,3
221,IF-01-02,23923 - IFB1223 - KALKULUS 2,MDF,FTIB,KTT2.12,3
222,IS-03-05,23812 - FIA2014 - PERANCANGAN  BASIS DATA,MDF,FTIB,KTT1.10,3
223,IS-03-05,23812 - FIA2014 - PERANCANGAN  BASIS DATA,MDF,LAB.FTIB.PROG,LAB.FTIB.PROG2,3
224,IT-03-03,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,MDF,FTIB,KTT2.13,3
225,IT-03-03,23757 - ITA2224 - PEMROGRAMAN BERBASIS OBJEK,MDF,LAB.MODEL,LAB.MODEL,3
226,IS-01-01,23830 - FIA4022 - METODE PENELITIAN DAN PENGEMBANGAN,MNP,FTIB,KTT1.12,2
227,IS-03-01,23809 - ISA2213 - ANALISIS DAN PERANCANGAN SISTEM INFORMASI,MNP,FTIB,KTT2.7,3
228,IS-03-02,23809 - ISA2213 - ANALISIS DAN PERANCANGAN SISTEM INFORMASI,MNP,FTIB,KTT2.8,3
229,IS-04-03,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,MNP,FTIB,KTT2.12,3
