,Activity Id,Students Sets,Subject,Teachers,SKS,Color
238,239,IS-03-02,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NAS,3,5
239,240,IS-03-03,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NAS,3,1
240,241,IS-03-03,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NAS,3,3
241,242,CE-03-01,23261 - MAA2013 - PROBABILITAS DAN STATISTIK,NIS,3,8
242,243,CE-03-02,23261 - MAA2013 - PROBABILITAS DAN STATISTIK,NIS,3,5
243,244,IE-02-01,23618 - IEA3043 - ORGANISASI DAN MANAJEMEN PERUSAHAAN INDUSTRI,NIS,3,3
244,245,IE-03-01,23582 - IEA2232 - PROSES MANUFAKTUR,NNR,2,3
245,246,IE-03-01,23593 - IEA2231 - PRAKTIKUM PROSES MANUFAKTUR,NNR,1,4
246,247,IE-03-02,23582 - IEA2232 - PROSES MANUFAKTUR,NNR,2,1
247,248,IE-03-02,23593 - IEA2231 - PRAKTIKUM PROSES MANUFAKTUR,NNR,1,2
248,249,IE-03-03,23582 - IEA2232 - PROSES MANUFAKTUR,NNR,2,8
249,250,IE-03-03,23593 - IEA2231 - PRAKTIKUM PROSES MANUFAKTUR,NNR,1,9
250,251,IS-02-01,23826 - TPA3022 - KEWIRAUSAHAAN,NPI,2,1
251,252,IS-02-02,23825 - ISA3242 - ETIKA PROFESI TEKNOLOGI INFORMASI,NPI,2,2
252,253,IS-02-02,23826 - TPA3022 - KEWIRAUSAHAAN,NPI,2,7
253,254,IS-03-01,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NPI,3,3
254,255,IS-03-01,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NPI,3,4
255,256,TE-03-01,23221 - TEA2213 - MIKROPROSESOR,NRR,3,8
256,257,TE-03-02,23210 - FEA2223 - ELEKTROMAGNETIKA,NRR,3,3
257,258,TE-03-02,23221 - TEA2213 - MIKROPROSESOR,NRR,3,4
258,259,TE-04-01,23193 - MAA1023 - MATEMATIKA DISKRIT,NRR,3,7
259,260,TE-04-02,23193 - MAA1023 - MATEMATIKA DISKRIT,NRR,3,5
260,261,IT-03-01,23762 - ITA2243 - JARINGAN KOMPUTER LANJUT,OKT,3,4
261,262,IT-03-02,23762 - ITA2243 - JARINGAN KOMPUTER LANJUT,OKT,3,2
262,263,IT-03-03,23761 - ITA2283 - KEAMANAN INFORMASI,OKT,3,3
263,264,IT-03-03,23762 - ITA2243 - JARINGAN KOMPUTER LANJUT,OKT,3,8
264,265,CE-04-01,23204 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,1,4
265,266,CE-04-01,23198 - SCA1213 - FISIKA 2,ONI,3,5
266,267,EE-04-01,23276 - SCA1213 - FISIKA 2,ONI,3,2
267,268,EE-04-01,23288 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,1,6
268,269,TE-04-01,23183 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,1,1
269,270,TE-04-01,23182 - SCA1213 - FISIKA 2,ONI,3,3
270,271,TE-04-02,23183 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,1,7
271,272,TE-04-02,23182 - SCA1213 - FISIKA 2,ONI,3,8
272,273,SE-02-01,23725 - SEA3033 - PENJAMINAN DAN KEAMANAN INFORMASI,PNG,3,1
273,274,SE-03-01,23693 - FIA2014 - PERANCANGAN BASIS DATA,PNG,3,4
274,275,SE-03-01,23693 - FIA2014 - PERANCANGAN BASIS DATA,PNG,3,5
275,276,SE-03-01,23694 - FIA2023 - SISTEM OPERASI KOMPUTER,PNG,3,6
276,277,SE-04-01,23684 - FIA1214 - ALGORITMA DAN STRUKTUR DATA,PNG,3,2
277,278,SE-04-01,23684 - FIA1214 - ALGORITMA DAN STRUKTUR DATA,PNG,3,3
278,279,IS-02-01,23823 - ISA3223 - REKAYASA PERANGKAT LUNAK: CAPSTONE PROJECT,PUR,3,4
279,280,IS-02-02,23823 - ISA3223 - REKAYASA PERANGKAT LUNAK: CAPSTONE PROJECT,PUR,3,1
280,281,IS-03-04,23810 - ISA2223 - PERANCANGAN INTERAKSI,PUR,3,7
281,282,IS-03-05,23810 - ISA2223 - PERANCANGAN INTERAKSI,PUR,3,2
282,283,DB-01-01,23983 - FIB1042 - PENGANTAR INDUSTRI TELEKOMUNIKASI,RAS,2,6
283,284,DB-01-02,23983 - FIB1042 - PENGANTAR INDUSTRI TELEKOMUNIKASI,RAS,2,5
284,285,IS-03-03,23811 - ISA2233 - REKAYASA PROSES BISNIS,RAS,3,4
285,286,IS-03-04,23811 - ISA2233 - REKAYASA PROSES BISNIS,RAS,3,2
286,287,IS-03-05,23811 - ISA2233 - REKAYASA PROSES BISNIS,RAS,3,7
287,288,IE-02-01,23623 - IEA3233 - PERANCANGAN PRODUK,RAZ,3,5
